,Country,Distance,Food Type,Monument,Price,Rank of Distance,Rating,Review Count
188,IT,699.4347183450433,Italian,Leaning Tower of Pisa,2,33,4.0,9
189,IT,285.4246574126805,Italian,Leaning Tower of Pisa,2,15,3.5,7
190,IT,176.47053118178974,Pizza,Leaning Tower of Pisa,2,10,3.5,7
191,IT,420.87814483594974,Italian,Leaning Tower of Pisa,1,22,5.0,6
192,IT,951.0325812753771,Baguettes,Leaning Tower of Pisa,2,43,4.5,6
193,IT,946.4657802350262,Wine Bars,Leaning Tower of Pisa,1,42,4.5,7
194,IT,912.5463352387168,Italian,Leaning Tower of Pisa,2,40,3.5,10
195,IT,788.7517833568711,Pubs,Leaning Tower of Pisa,1,36,4.0,8
196,IT,178.61957301718448,Cafes,Leaning Tower of Pisa,2,11,3.5,6
197,IT,357.57961839329346,Bars,Leaning Tower of Pisa,n/a,19,4.0,4
198,IT,72.69232715923113,Cafes,Leaning Tower of Pisa,1,3,3.5,5
199,IT,788.8336851857849,Kebab,Leaning Tower of Pisa,1,37,4.5,3
200,IT,4.623255699469917,Landmarks & Historical Buildings,Colosseum,n/a,1,4.5,784
201,IT,768.5970033286247,Pizza,Colosseum,1,16,4.5,439
202,IT,692.1880933353442,Wine Bars,Colosseum,2,14,4.5,292
203,IT,276.4716866787082,Sandwiches,Colosseum,1,3,4.5,161
204,IT,368.1718103655357,Landmarks & Historical Buildings,Colosseum,n/a,5,4.5,186
205,IT,1402.246816542099,Landmarks & Historical Buildings,Colosseum,n/a,23,4.5,617
206,IT,1450.5164541490244,Sandwiches,Colosseum,2,27,4.5,356
207,IT,1577.4956729123649,Churches,Colosseum,n/a,31,4.5,355
208,IT,585.6582573306058,Gelato,Colosseum,1,11,4.5,111
209,IT,2014.496789478857,Ice Cream & Frozen Yogurt,Colosseum,1,49,4.5,387
210,IT,544.1680786490684,Mediterranean,Colosseum,1,10,4.5,103
211,IT,1599.5263660099508,Coffee & Tea,Colosseum,1,32,4.5,234
212,IT,1627.181478168115,Gluten-Free,Colosseum,3,33,4.5,178
213,IT,1427.2731437878113,Italian,Colosseum,2,25,4.0,399
214,IT,2076.1807934839417,Italian,Colosseum,2,50,4.0,441
215,IT,529.0575823634472,Italian,Colosseum,2,9,4.0,113
216,IT,1447.1863540078573,Wine Bars,Colosseum,2,26,5.0,90
217,IT,1209.9703784651456,Roman,Colosseum,2,21,4.5,181
218,IT,1255.9328350932399,Italian,Colosseum,2,22,4.0,315
219,IT,1996.7833301696364,Pizza,Colosseum,1,47,4.5,160
220,IT,1671.4405936267194,Bars,Colosseum,1,35,4.0,287
221,IT,1861.0955693048513,Landmarks & Historical Buildings,Colosseum,n/a,40,4.5,198
222,IT,1985.1923213735013,Italian,Colosseum,2,46,4.5,239
223,IT,1887.052325211383,Italian,Colosseum,3,41,4.5,220
224,IT,1820.8646687532885,Roman,Colosseum,2,38,4.0,320
225,IT,1972.1579174679532,Pizza,Colosseum,2,45,4.5,285
226,IT,198.7574925843121,Wine Bars,Colosseum,2,2,4.0,83
227,IT,699.4049381354548,Italian,Colosseum,2,15,4.5,66
228,IT,586.3232243049571,Italian,Colosseum,2,12,4.5,60
229,IT,1557.070594640495,Salumerie,Colosseum,2,30,4.0,203
230,IT,1518.629058572608,Breweries,Colosseum,2,28,4.0,194
231,IT,379.8460981964785,Pizza,Colosseum,2,6,3.5,152
232,IT,1901.26916051843,Trattorie,Colosseum,2,42,4.0,298
233,IT,486.3787854196899,Roman,Colosseum,2,8,4.0,85
234,IT,1032.4772514872902,Italian,Colosseum,2,18,4.5,57
235,IT,2001.1555358216049,Sandwiches,Colosseum,1,48,4.5,120
236,IT,1926.3736866344072,Italian,Colosseum,2,43,4.5,213
237,IT,637.6563006852341,Landmarks & Historical Buildings,Colosseum,n/a,13,4.5,45
238,IT,445.45820482359255,Roman,Colosseum,2,7,4.0,89
239,IT,1194.8700631804852,Gelato,Colosseum,1,19,4.5,55
240,IT,1547.4951738612322,Italian,Colosseum,2,29,4.5,118
241,IT,776.2307309497075,Museums,Colosseum,n/a,17,4.5,51
242,IT,1766.3148876947619,Italian,Colosseum,2,36,4.0,181
243,IT,1960.0427656570616,Salumerie,Colosseum,2,44,4.5,95
244,IT,1833.8589715664511,Italian,Colosseum,2,39,4.5,121
245,IT,1647.846766638205,Italian,Colosseum,3,34,4.5,111
246,IT,1818.5380302257097,Bakeries,Colosseum,1,37,4.5,134
247,IT,282.5220994721602,Italian,Colosseum,2,4,4.5,45
248,IT,1410.938577055236,Italian,Colosseum,2,24,4.0,146
249,IT,1201.1160167689152,Italian,Colosseum,2,20,4.0,95
250,US,810.389297845162,Burgers,Empire State Building,2,29,4.0,5342
251,US,624.2942565619356,Bagels,Empire State Building,1,23,4.5,2080
252,US,1576.689148628117,Food Stands,Empire State Building,1,43,4.5,8724
253,US,761.7126018142537,American (New),Empire State Building,4,27,4.5,1761
254,US,797.4929367802108,Italian,Empire State Building,2,28,4.0,4783
255,US,201.72887121489066,Tapas Bars,Empire State Building,2,9,4.0,1673
256,US,256.87425382883987,Steakhouses,Empire State Building,4,13,4.0,2064
257,US,136.42259035835403,Korean,Empire State Building,1,6,4.0,2341
258,US,864.1935958614514,Landmarks & Historical Buildings,Empire State Building,n/a,32,4.5,1213
259,US,628.6309288777893,Parks,Empire State Building,n/a,24,4.5,991
260,US,99.39792504646631,Coffee & Tea,Empire State Building,2,3,4.0,1562
261,US,446.1862629872433,Italian,Empire State Building,3,20,4.0,1604
262,US,0.32657547453676133,Landmarks & Historical Buildings,Empire State Building,n/a,1,4.0,1748
263,US,370.0869020398076,Coffee & Tea,Empire State Building,2,16,4.5,1296
264,US,485.56005684768286,Mediterranean,Empire State Building,3,22,4.0,2047
265,US,1983.5545827769206,Ramen,Empire State Building,2,49,4.0,9243
266,US,1126.6757561513798,Seafood,Empire State Building,2,38,4.0,4217
267,US,1126.4571398072158,American (New),Empire State Building,4,37,4.5,2447
268,US,66.82133830145378,Chicken Wings,Empire State Building,2,2,4.0,1662
269,US,459.70346031598086,French,Empire State Building,3,21,4.0,1289
270,US,146.57478473493813,Korean,Empire State Building,2,7,4.0,1157
271,US,351.06748564586564,Hawaiian,Empire State Building,2,15,4.0,1598
272,US,115.07505387434911,Korean,Empire State Building,2,4,4.0,1548
273,US,1012.8878085823835,Italian,Empire State Building,2,34,4.0,2815
274,US,241.13230238649302,Italian,Empire State Building,4,11,4.0,1055
275,US,420.2025618517676,American (New),Empire State Building,2,18,4.0,1647
276,US,1620.4055548327492,Parks,Empire State Building,n/a,45,4.5,2076
277,US,1608.1219360382122,Coffee & Tea,Empire State Building,1,44,4.5,3203
278,US,1495.0496616105765,French,Empire State Building,4,42,4.5,2096
279,US,135.32966009218654,Korean,Empire State Building,2,5,4.0,813
280,US,836.7814947491794,Pizza,Empire State Building,1,31,4.0,1462
281,US,894.7129258435904,Italian,Empire State Building,2,33,4.0,1621
282,US,207.38998854501523,Vegetarian,Empire State Building,3,10,4.0,979
