,Country,Distance,Food Type,Monument,Price,Rating,Review Count
225,IT,1397.94910569041,Italian,St. Peter's Basilica,2,4.0,441
226,IT,436.52648821132397,Pasta Shops,St. Peter's Basilica,1,4.5,108
227,IT,727.6371043211919,Roman,St. Peter's Basilica,2,4.0,143
229,IT,1966.808640316582,Coffee & Tea,St. Peter's Basilica,1,4.5,234
232,IT,1695.8317022104377,Pizza,St. Peter's Basilica,2,4.5,285
233,IT,1789.3445537933478,Italian,St. Peter's Basilica,2,4.5,239
234,IT,1617.955837941112,Roman,St. Peter's Basilica,2,4.0,319
235,IT,1448.087311894906,Sandwiches,St. Peter's Basilica,1,4.5,120
236,IT,1814.4480620098518,Bars,St. Peter's Basilica,1,4.0,287
237,IT,1521.93884720271,Italian,St. Peter's Basilica,2,4.5,213
241,ES,1679.808874022514,Tapas Bars,Sagrada Familia,2,4.0,878
242,ES,1269.949702741348,Tapas Bars,Sagrada Familia,2,4.5,316
243,ES,122.764960386396,Seafood,Sagrada Familia,2,4.5,146
245,ES,1761.6409335913856,Tapas Bars,Sagrada Familia,2,4.0,747
248,ES,2012.266250111778,Breakfast & Brunch,Sagrada Familia,2,4.5,602
249,ES,1673.250662405488,Tapas/Small Plates,Sagrada Familia,2,4.5,126
250,ES,2736.233980214376,Argentine,Sagrada Familia,1,4.5,422
252,ES,2128.3952980147396,Vegetarian,Sagrada Familia,2,4.5,315
253,ES,2826.4901594641697,Spanish,Sagrada Familia,2,4.5,416
254,ES,1415.498253177622,Burgers,Sagrada Familia,1,4.0,204
257,ES,2211.184464751214,Tapas Bars,Sagrada Familia,2,4.5,278
258,ES,693.213214700082,Breakfast & Brunch,Sagrada Familia,2,4.0,117
260,US,205.78186450440197,American (Traditional),Little Mermaid,2,4.0,519
261,US,222.250342595624,Dinner Theater,Little Mermaid,2,4.0,533
262,US,63.02493204183,American (Traditional),Little Mermaid,3,3.5,427
263,US,1816.0118409507159,Steakhouses,Little Mermaid,3,4.0,503
264,US,1647.4205709751238,Italian,Little Mermaid,2,4.0,601
265,US,1147.406267040348,Seafood,Little Mermaid,3,4.0,304
266,US,1458.54351670851,Bakeries,Little Mermaid,1,4.0,303
267,US,1709.8739916212098,British,Little Mermaid,2,4.0,385
268,US,2075.009941941908,Mexican,Little Mermaid,2,4.5,223
269,US,1802.8272566959076,German,Little Mermaid,3,4.0,488
270,US,378.18259450355794,Italian,Little Mermaid,2,3.5,334
271,US,1689.1955612007237,British,Little Mermaid,2,4.5,169
272,US,1499.046350057286,French,Little Mermaid,3,3.5,471
273,US,1076.179099851416,Steakhouses,Little Mermaid,4,4.0,215
274,US,2709.177987074666,Steakhouses,Little Mermaid,4,4.5,227
275,US,1576.3338188621258,American (Traditional),Little Mermaid,2,4.0,210
276,US,1268.037942971512,American (New),Little Mermaid,3,3.5,334
277,US,1500.356047847356,Japanese,Little Mermaid,3,4.0,330
278,US,2798.59040304185,Asian Fusion,Little Mermaid,2,4.0,633
279,US,1593.24254768188,Seafood,Little Mermaid,3,4.0,231
281,AU,1032.014109691144,Chinese,Sydney Opera House,3,4.0,222
284,AU,719.390408098844,Japanese,Sydney Opera House,3,4.0,124
285,AU,1135.25811062026,Steakhouses,Sydney Opera House,4,4.0,115
286,AU,1694.0942669540718,Bars,Sydney Opera House,3,4.5,108
291,AU,2556.726100770894,Malaysian,Sydney Opera House,2,4.0,248
293,AU,2443.348484012494,Dim Sum,Sydney Opera House,2,4.0,248
294,AU,1489.4850844117539,Restaurants,Sydney Opera House,1,4.0,103
297,AU,1595.171794218288,Ramen,Sydney Opera House,2,4.0,123
302,FR,999.795772581702,French,Arc de Triomphe,2,4.5,304
303,FR,288.665975380714,French,Arc de Triomphe,3,4.5,166
304,FR,859.722842814504,Steakhouses,Arc de Triomphe,3,4.0,385
305,FR,674.94743696224,French,Arc de Triomphe,4,4.5,105
306,FR,206.15744583624198,French,Arc de Triomphe,4,4.0,119
307,FR,652.2060603833639,Vietnamese,Arc de Triomphe,2,4.0,174
308,FR,1806.8078906280239,French,Arc de Triomphe,3,4.0,432
309,FR,1210.812261343256,Creperies,Arc de Triomphe,2,4.5,172
312,FR,868.804181224078,French,Arc de Triomphe,3,4.0,237
314,FR,1100.880634686618,French,Arc de Triomphe,2,3.5,364
315,FR,1743.56748067398,French,Arc de Triomphe,4,4.0,353
316,FR,1454.4060812396458,French,Arc de Triomphe,4,4.5,134
317,FR,1127.48436836365,French,Arc de Triomphe,3,4.0,122
319,FR,173.301073170014,Lounges,Arc de Triomphe,2,3.5,169
321,DE,759.2441090087319,Syrian,Berlin Wall,1,4.5,149
322,DE,1067.649950940612,Ramen,Berlin Wall,2,4.0,259
323,DE,966.291032717756,Middle Eastern,Berlin Wall,1,4.0,250
324,DE,1508.10082858226,Vietnamese,Berlin Wall,2,4.0,595
325,DE,1084.6297652737699,Indonesian,Berlin Wall,2,4.0,264
326,DE,540.86877115339,Italian,Berlin Wall,2,4.0,227
327,DE,911.942565512584,Sushi Bars,Berlin Wall,2,4.0,260
328,DE,1042.0999688387299,Breakfast & Brunch,Berlin Wall,2,4.0,205
329,DE,1041.53807823844,Burgers,Berlin Wall,2,4.0,275
331,DE,1799.4020183897098,Mexican,Berlin Wall,1,4.0,495
332,DE,827.8476252006959,Breakfast & Brunch,Berlin Wall,2,4.0,167
333,DE,1033.45887439846,German,Berlin Wall,2,4.0,201
334,DE,481.273454983492,Bars,Berlin Wall,3,4.0,138
335,DE,847.6707007453539,Vegan,Berlin Wall,3,4.0,166
336,DE,733.457641474946,Chinese,Berlin Wall,2,4.0,188
338,DE,1670.718542781954,Burgers,Berlin Wall,2,4.0,646
339,DE,2567.23549877765,Chocolatiers & Shops,Berlin Wall,3,4.5,292
346,GB,1115.96679995763,Coffee & Tea,Tower Bridge,2,4.5,276
348,GB,1238.7590259432397,Modern European,Tower Bridge,3,4.0,519
349,GB,1537.330603287094,Indian,Tower Bridge,2,4.0,633
350,GB,2107.134916088062,Indian,Tower Bridge,2,4.5,323
355,GB,1515.956663916006,British,Tower Bridge,2,4.0,193
356,GB,1729.553744012554,Steakhouses,Tower Bridge,3,4.5,162
358,GB,1684.1399040810738,British,Tower Bridge,2,4.0,220
361,GB,2452.180324832528,British,Tower Bridge,3,4.0,267
364,US,701.989592352894,American (New),Capitol Hill,3,4.5,1623
365,US,575.194498598398,Modern European,Capitol Hill,2,4.5,1119
366,US,537.985167650506,Breakfast & Brunch,Capitol Hill,2,4.0,1722
368,US,586.847313041206,Greek,Capitol Hill,2,4.0,1229
369,US,175.965625221214,American (New),Capitol Hill,2,4.5,574
370,US,200.85433756379598,Burgers,Capitol Hill,2,3.5,1753
371,US,315.23897404336,Italian,Capitol Hill,3,4.0,620
372,US,1821.840291872986,Ramen,Capitol Hill,2,4.0,1903
373,US,155.68006655966,Japanese,Capitol Hill,2,4.0,482
374,US,2134.621854108688,Indian,Capitol Hill,3,4.5,2587
375,US,276.557022322092,Coffee & Tea,Capitol Hill,1,4.5,428
376,US,2525.757071611758,Greek,Capitol Hill,3,4.0,3871
377,US,568.9101012155099,Pizza,Capitol Hill,2,4.0,826
378,US,338.866361493856,Mexican,Capitol Hill,1,4.0,516
379,US,273.253319441486,French,Capitol Hill,2,4.0,549
380,US,696.40149217534,Cafes,Capitol Hill,4,4.5,262
381,US,1770.725261028142,Pizza,Capitol Hill,1,4.5,616
382,US,948.705516882422,French,Capitol Hill,3,4.0,557
383,US,273.36708400795396,American (New),Capitol Hill,2,4.0,301
384,US,1153.1551045565539,American (New),Willis Tower (Sears Tower),3,4.5,7008
385,US,1262.1432736627999,Breakfast & Brunch,Willis Tower (Sears Tower),2,4.5,4494
386,US,1166.33050302051,Bars,Willis Tower (Sears Tower),2,4.5,4882
388,US,1645.1436698229618,Tapas/Small Plates,Willis Tower (Sears Tower),2,4.0,5761
389,US,1160.312432578344,Steakhouses,Willis Tower (Sears Tower),3,4.5,1860
390,US,1217.41985427071,Diners,Willis Tower (Sears Tower),2,4.0,3664
391,US,863.8302903246099,French,Willis Tower (Sears Tower),3,4.5,1904
392,US,1286.931875884144,Pizza,Willis Tower (Sears Tower),2,4.0,4383
393,US,972.7546214192079,Gastropubs,Willis Tower (Sears Tower),3,4.0,2401
394,US,1379.722169534402,Mexican,Willis Tower (Sears Tower),2,4.0,3312
395,US,1663.584738965746,Hot Dogs,Willis Tower (Sears Tower),1,4.0,4119
397,US,1736.6077722012258,Italian,Willis Tower (Sears Tower),2,4.0,3909
398,US,1686.876614109854,Seafood,Willis Tower (Sears Tower),3,4.5,1988
399,US,1370.2892399025,American (New),Willis Tower (Sears Tower),3,4.0,2864
400,US,849.6504446694798,Coffee & Tea,Willis Tower (Sears Tower),1,4.5,1388
401,US,1428.980538456452,Italian,Willis Tower (Sears Tower),3,4.0,2544
402,US,799.15395174452,Coffee & Tea,Willis Tower (Sears Tower),1,4.5,964
405,US,483.10026558049395,Pizza,Brooklyn Bridge,2,4.5,1589
406,US,495.781075399224,Pizza,Brooklyn Bridge,2,3.5,4214
407,US,1959.557895418614,Delis,Brooklyn Bridge,2,4.0,8695
408,US,1340.920553084358,Donuts,Brooklyn Bridge,2,4.5,2970
410,US,957.439278407364,Shanghainese,Brooklyn Bridge,2,4.0,4984
411,US,2819.746700099358,Ramen,Brooklyn Bridge,2,4.0,9239
412,US,372.899001892622,American (New),Brooklyn Bridge,4,4.0,882
413,US,1720.8289458676759,Pizza,Brooklyn Bridge,2,4.0,5365
414,US,1996.4014734349798,Bakeries,Brooklyn Bridge,2,4.0,4029
415,US,436.81474273141396,Seafood,Brooklyn Bridge,2,4.5,418
416,US,1881.3660420683082,Italian,Brooklyn Bridge,1,4.5,1652
417,US,1207.4769487719739,Burgers,Brooklyn Bridge,1,4.5,1316
418,US,1160.499108132578,Sandwiches,Brooklyn Bridge,1,4.5,990
419,US,1894.2325140398739,Cuban,Brooklyn Bridge,2,4.0,2984
420,US,1547.034805683406,Cajun/Creole,Brooklyn Bridge,2,4.5,1576
421,US,1064.105454585856,Chinese,Brooklyn Bridge,1,4.0,1351
422,US,1266.892646504472,Chinese,Brooklyn Bridge,1,4.5,926
423,US,1802.410820819762,American (New),Brooklyn Bridge,3,4.0,2777
425,IT,150.20945286919198,Sandwiches,Trevi Fountain,2,4.5,356
428,IT,1104.28255462182,Ice Cream & Frozen Yogurt,Trevi Fountain,1,4.5,387
429,IT,247.12577321611997,Italian,Trevi Fountain,2,4.0,399
431,IT,514.919445975502,Coffee & Tea,Trevi Fountain,1,4.5,234
432,IT,785.173852059368,Wine Bars,Trevi Fountain,2,4.5,292
433,IT,519.808023669428,Gluten-Free,Trevi Fountain,3,4.5,178
434,IT,1079.4732953950381,Italian,Trevi Fountain,2,4.0,441
435,IT,726.644229893958,Bars,Trevi Fountain,1,4.0,287
437,IT,1453.8172050653018,Pizza,Trevi Fountain,1,4.5,439
439,IT,366.41759602709595,Italian,Trevi Fountain,2,4.0,181
440,IT,1101.5004536411418,Roman,Trevi Fountain,2,4.0,319
441,IT,1192.0201145185379,Italian,Trevi Fountain,3,4.5,219
442,IT,358.824621276646,Italian,Trevi Fountain,3,4.5,111
443,IT,1139.5553875081978,Italian,Trevi Fountain,2,4.0,315
444,IT,188.680335465176,Italian,St. Mark's Basilica & Campanile,1,4.5,766
445,IT,91.356953486668,Napoletana,St. Mark's Basilica & Campanile,2,4.0,352
447,IT,497.03771357136196,Italian,St. Mark's Basilica & Campanile,2,4.5,163
449,IT,537.310583821386,Pizza,St. Mark's Basilica & Campanile,2,4.5,149
450,IT,265.74286536981,Seafood,St. Mark's Basilica & Campanile,3,4.5,172
452,IT,627.38756306218,Pizza,St. Mark's Basilica & Campanile,1,4.5,129
453,IT,157.55085832672,Cafes,St. Mark's Basilica & Campanile,3,4.0,172
454,IT,199.803295795338,Seafood,St. Mark's Basilica & Campanile,2,4.0,120
455,IT,1117.735539291006,Italian,St. Mark's Basilica & Campanile,2,4.5,172
456,IT,370.07440419710196,Italian,St. Mark's Basilica & Campanile,2,4.0,119
464,US,590.1057498546979,Food Stands,Times Square,1,4.5,8722
465,US,445.641905361002,Coffee & Tea,Times Square,1,4.5,3194
466,US,409.980020645116,French,Times Square,4,4.5,2096
467,US,270.47420314277196,Steakhouses,Times Square,4,4.5,2377
468,US,640.5128814402799,Ramen,Times Square,2,4.0,4746
469,US,146.042336503642,American (Traditional),Times Square,2,4.0,3367
470,US,530.017157778212,Ramen,Times Square,2,4.0,3058
472,US,207.46253930457198,Italian,Times Square,2,4.0,2811
473,US,891.3790635332539,Bagels,Times Square,1,4.5,2079
476,US,651.956187173868,Thai,Times Square,2,4.0,2129
477,US,345.42151713515597,Burgers,Times Square,2,4.0,2814
478,US,269.21040807472,Italian,Times Square,2,4.0,1620
479,US,176.29842385849398,Italian,Times Square,2,4.0,1713
480,US,921.641627676936,Steakhouses,Times Square,4,4.0,2061
481,US,607.7826918126299,American (New),Times Square,2,4.0,1689
482,US,973.63994236677,Tapas Bars,Times Square,2,4.0,1671
483,US,509.23997310543797,Desserts,Times Square,1,4.0,1539
484,US,752.0805418976299,American (Traditional),The White House,2,4.0,10470
485,US,276.564732509098,Bars,The White House,2,4.0,6310
486,US,1138.423884694298,Greek,The White House,3,4.0,3871
487,US,1347.8373710367719,Indian,The White House,3,4.5,2587
489,US,845.6442912720498,Brazilian,The White House,3,4.0,1556
490,US,1581.283332605812,Brasseries,The White House,3,4.0,2351
491,US,1544.274975715252,American (New),The White House,3,4.0,1971
492,US,360.38578970709597,Seafood,The White House,3,4.5,889
493,US,385.831873945116,Seafood,The White House,2,3.5,1858
494,US,892.521893686744,Pizza,The White House,1,4.5,781
495,US,1243.71689071312,Pizza,The White House,2,4.0,2649
496,US,2166.438358171276,Bakeries,The White House,2,4.5,3639
497,US,1469.654436761462,Ramen,The White House,2,4.0,2317
499,US,551.65577564306,Mexican,The White House,1,4.0,1270
500,US,604.7807342274659,Pizza,The White House,1,4.5,426
501,US,1197.591330949218,American (Traditional),The White House,2,4.0,1367
